"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cayman Islands","CYM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181","45","63","39","","128","333","185","26","163","","","70","58.2797927461138","88","","","","","274","275","179","250","120","6.02543859649086","234",
"Cyprus","CYP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1276","1347","724","664","837","605","189","276","17","68","19","82","710","973","1217","758","961","754","329","295","241","39","496","376","",
"Czechia","CZE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","2616","2532","4723","6376","2120","4853","8735","11683","14425","17219","12319","10921","8739","538","471","4700","",
"Germany","DEU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3111","16186","73176","67843","63242","55095","61404","51117","46745","48033","31781","17059","25123","25436","34341","24047","49857","31356","25345","27953","35069","43851","58820","6559","",
"Djibouti","DJI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","1289","1452","989","","1696","1935","2235","1680","","","","","","","","","","","","","","","","","","304","104","","72","111","83","175","649","697","229","","123","140","245","213","131","288","","","439","235","296.12676056338","199","230","",
"Denmark","DNK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1242","1032","5","","10310","8237","4431","2109","2486","1998","2451","2258","1924","2296","2850","2904","3160","2634","1772","1854","1599","2078","2548","3707","",
"Dominican Republic","DOM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149555","","69439","109906","172621","157848","170992","98421","141536","48386","54351","52377","64875","67450","87419","46019","44113","55293","64074","44717","43152","117704","69116","57004","56334",
"Algeria","DZA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","803939","670735","573640","593729","682913","677818","696716","680219","689897","713095","719373","650811","608684","545668","485834","443049","430641","459510","437036","430810","494327","502055","483683","489233","490519","","299322","234331","121093","48953","32507","35228","19989","33290","60232","43899","31857","31549.7612131312","24696.3216966549","20411.0809684433","15281.5328523461","16233.3536134656","14719.7615875974","17785.1130784084","16519","30198","82685","11103.7051376756","40716","101754","45583.9084418016","78644.9051767001",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115003","93799","69975","63934","","72239","47651","21478","49599","11611","10018.3676062364","13877.292071112","36767","38893","22428.9446552154","52055","53489","48352","29291.4007133422","31579.5045760567","26047.6094680119","30796","31042.2150966022","86090","",
"Egypt, Arab Rep.","EGY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1909241","1918481","1953530","","","","","2074150","","","","","","","","","","","","","","","","1470868","","","1293100","","1495947","1389899","1367227","1319305","1257037","1216364","1491920","1832381","1453362","","1563974","1515016","1785983","1562668","","1729686","","1463110","1397438","1105631","858723","652231","480084","","691113","559709",
